ANIO FISCAL;ACTIVIDAD ECONÓMICA;TOTAL GASTOS (798);TOTAL COSTOS (797);TOTAL IMPUESTO CAUSADO (839)
2006;9999999;NA;NA;0
2006;A011112;128730.84;670830.57;37313.42
2006;A011113;0;0;13988.47
2006;A011119;0;0;10368.63
2006;A011121;0;0;0
2006;A011123;NA;NA;968.69
2006;A011129;0;0;10957.93
2006;A011131;0;0;3477.36
2006;A011132;NA;NA;0
2006;A011200;0;0;21011.21
2006;A011311;0;815732.46;3852.72
2006;A011312;0;0;1532.38
2006;A011319;NA;NA;0
2006;A011321;0;0;319.37
2006;A011341;0;0;1976.67
2006;A011349;0;0;2.59
2006;A011391;NA;NA;720.57
2006;A011392;NA;NA;45.02
2006;A011393;NA;NA;960.87
2006;A011399;0;0;887.36
2006;A011400;11050.6;260031.49;27734
2006;A011500;NA;NA;100594.93
2006;A011601;0;0;161.93
2006;A011603;NA;NA;0
2006;A011609;NA;NA;1540.72
2006;A011901;NA;NA;319.19
2006;A011903;1653216.45;2615715.56;1761200.91
2006;A012100;56608.16;210923.3;7924.27
2006;A012201;579369.58;929277.05;1205343.56
2006;A012202;NA;NA;7765.11
2006;A012209;0;0;26770.61
2006;A012301;0;0;33.08
2006;A012503;NA;NA;2.5
2006;A012509;NA;NA;0
2006;A012601;0;67520.32;898095.25
2006;A012701;0;0;8798.43
2006;A012702;0;0;21749.95
2006;A012709;0;0;3.02
2006;A012802;NA;NA;0
2006;A012803;NA;NA;119.93
2006;A012902;35168.28;82620.53;45969.18
2006;A012909;NA;NA;22791.11
2006;A013000;0;0;38377.04
2006;A014101;177949.24;0;83033.83
2006;A014102;0;0;33065.8
2006;A014103;NA;NA;1105.13
2006;A014109;NA;NA;0
2006;A014201;NA;NA;1052.65
2006;A014300;NA;NA;15.34
2006;A014401;NA;NA;0
2006;A014402;NA;NA;0
2006;A014404;NA;NA;9.65
2006;A014501;1665.79;8150.77;174.59
2006;A014601;1203207.34;0;1578460.24
2006;A014603;NA;NA;20132.27
2006;A014920;NA;NA;0
2006;A014921;0;0;0
2006;A014992;NA;NA;299.15
2006;A014994;0;0;247.64
2006;A014995;0;0;1836.31
2006;A014996;0;0;1863.29
2006;A015000;622348.68;2015405.77;874614.59
2006;A016101;0;0;2787.84
2006;A016102;13.63;0;138493.9
2006;A016103;NA;NA;25.33
2006;A016104;0;0;6730.49
2006;A016201;NA;NA;7050.52
2006;A016202;NA;NA;998.86
2006;A016209;0;0;3565.61
2006;A016301;NA;NA;4080.64
2006;A016309;1135183.19;1762126.86;7213508.22
2006;A016400;NA;NA;5216.56
2006;A021001;1512434.1;31286.57;35291.43
2006;A021002;3075.76;0;0
2006;A022001;168155.72;0;11943.75
2006;A022002;NA;NA;7510.1
2006;A022003;NA;NA;2859.44
2006;A024001;0;0;13044.46
2006;A024002;NA;NA;1868.58
2006;A024004;0;0;22876.98
2006;A024005;NA;NA;0
2006;A031101;3130762.76;7587802.47;806105.93
2006;A031109;0;0;0
2006;A031201;20797.83;0;22533.01
2006;A032101;NA;NA;0
2006;A032102;1727839.28;6595414.39;1511458.54
2006;A032103;0;0;23631.15
2006;A032104;NA;NA;2586.29
